Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3
10299,Battery Park City: The Early Years,1:00,308,4:00,total:1,1,6,Xlibris Corporation,0,2005,,Charles Urstadt,3,2:00,5:00,1413460429,3:01
10300,Lake Quinsigamond and White City Amusement Park (Images of America: Massachusetts),1:00,96,4:01,total:6,27,9,Arcadia Publishing,2,2004,,Michael Perna Jr.,4.5,2:00,5:04,738536733,3:01
10301,Follies of Science: 20th Century Visions of Our Fantastic Future,1:00,128,4:08,total:25,1,8,Fulcrum Publishing,3,2006,,John Dregni,3.6,2:03,5:05,1933108096,3:09
10302,The March of Folly: From Troy to Vietnam,0.097222222,447,1.505555556,total:5160,12,2,Random House Trade Paperbacks,310,1985,,Barbara W. Tuchman,4.02,0.243055556,1.510416667,345308239,0.852083333
10303,FDR's Folly: How Roosevelt and His New Deal Prolonged the Great Depression,1:12,352,0.324305556,total:565,28,9,Crown Forum,46,2004,eng,Jim  Powell,4,2:32,0.345138889,140005477X,0.192361111
10304,Churchill's Folly: How Winston Churchill Created Modern Iraq,1:03,288,4:40,total:110,19,5,Basic Books,13,2005,,Christopher Catherwood,3.41,2:13,5:12,078671557X,3:42
10306,Water Follies: Groundwater Pumping and the Fate of America's Fresh Waters,1:01,328,4:48,total:121,14,1,Island Press,16,2004,,Robert Glennon,4.09,2:04,5:45,1559634006,3:23
10307,Follies of the Wise: Dissenting Essays,1:01,396,4:16,total:35,10,3,Counterpoint,0,2006,,Frederick C. Crews,3.97,2:02,5:11,1593761015,3:05
10308,"Folly and Glory (The Berrybender Narratives, #4)",1:21,358,0.659027778,total:1657,8,8,Simon  Schuster,90,2005,en-US,Larry McMurtry,3.87,0.139583333,0.505555556,743262727,0.415277778
10309,The Folly of Empire: What George W. Bush Could Learn from Theodore Roosevelt and Woodrow Wilson,1:04,245,4:21,total:51,15,6,"Oxford University Press, USA",3,2006,,John B. Judis,3.63,2:03,5:11,195309022,3:12
10310,"The Argumentative Indian: Writings on Indian History, Culture and Identity",0.153472222,432,2.170833333,total:7149,5,9,Picador,347,2006,eng,Amartya Sen,3.81,0.374305556,1.469444444,031242602X,1.421527778
10311,Argumentative Indian: Writings On Indian History Culture And Identity,0.153472222,391,2.170833333,total:7149,28,6,Allen Lane,7,2005,eng,Amartya Sen,3.81,0.374305556,1.469444444,713996870,1.421527778
10312,The Voyage Out,0.160416667,304,2.473611111,total:8749,3,11,Hard Press,0,2006,,Virginia Woolf,3.75,0.500694444,1.672222222,140691102X,1.89375
10317,Best New American Voices 2000,1:00,388,4:10,total:22,2,11,Mariner Books,4,2000,,Tobias Wolff,3.77,2:01,5:04,156013223,3:07
10320,See Jane Write: A Girl's Guide to Writing Chick Lit,1:08,191,0.267361111,total:411,1,6,Quirk Books,61,2006,,Sarah Mlynowski,3.87,2:24,0.295833333,1594741158,0.2
10321,The Guy I'm Not Dating,1:14,352,0.302777778,total:661,15,8,Harvest House Publishers,64,2006,,Trish Perry,3.9,2:44,0.372916667,736918728,0.243055556
10322,Chick Lit: The New Woman's Fiction,1:02,272,4:16,total:37,19,10,Routledge,5,2005,,Suzanne Ferriss,3.68,2:03,5:08,415975034,3:08
10324,"Things to Bring, S#!t to Do: And Other Inventories of Anxiety: My Life in Lists",1:00,160,4:17,total:49,1,10,"Stewart, Tabori and Chang",12,2006,eng,Karen Rizzo,3.63,2:06,5:10,1584795425,3:16
10326,The Accidental Bride: A Romantic Comedy,1:35,304,4:23,total:195,8,6,St. Martin's Griffin,31,2000,,Janice Harayda,2.63,2:49,5:12,312262817,0.177777778
10328,Dumpy and the Firefighters,1:04,32,4:05,total:24,23,8,HarperCollins,1,2005,,Julie Andrews Edwards,2.96,2:04,5:03,60526831,3:08
10329,Dumpy's Valentine,1:03,24,4:08,total:30,12,12,Julie Andrews Collection,4,2006,eng,Julie Andrews Edwards,3.27,2:06,5:06,60885734,3:07
10332,Mandy,0.136805556,320,2.520833333,total:11009,15,8,HarperCollins,849,2006,eng,Julie Andrews Edwards,4.25,0.335416667,4.013888889,61131628,1.263194444
10333,Dumpy and the Big Storm,1:01,32,4:05,total:20,1,9,Hyperion Books for Children,1,2002,,Julie Andrews Edwards,3.2,2:05,5:03,786807423,3:06
10334,Little Bo,1:02,96,0.225694444,total:275,2,10,Hyperion Books for Children,24,2000,,Julie Andrews Edwards,4.24,2:04,0.3,078680677X,3:52
10335,Julie Andrews: A Life on Stage and Screen,1:02,262,4:23,total:62,1,6,Citadel,4,2000,,Robert Windeler,3.34,2:08,5:05,080652054X,3:24
10337,Little Bo in France,1:00,128,4:36,total:100,1,4,Hyperion Books for Children,10,2002,,Julie Andrews Edwards,4.22,2:02,5:44,786806583,3:18
10338,Freud: Inventor of the Modern Mind,1:03,224,4:42,total:114,21,11,Eminent Lives,19,2006,,Peter D. Kramer,3.47,2:12,5:15,60598956,3:42
10339,The Protestant Ethnic and the Spirit of Capitalism,1:01,237,4:22,total:50,2,10,Columbia University Press,4,2002,,Rey Chow,4,2:02,5:16,023112421X,3:09
10340,Giraffes Can't Dance,0.211805556,32,4.565972222,total:22668,1,6,Orchard Books,3,2006,eng,Giles Andreae,4.31,0.547222222,5:12219,1846162661,2.347916667
10344,The Giraffe Who Cock-A-Doodle-Doo'd,1:00,16,4:23,total:47,13,5,Dial,4,2002,,Keith Faulkner,4.21,2:02,5:18,803727399,3:04
10346,The Medici Giraffe and Other Tales of Exotic Animals and Power,1:05,414,0.222916667,total:239,21,8,"Little, Brown and Company",38,2006,eng,Marina Belozerskaya,3.55,2:24,5:42,316525650,0.185416667
10347,The Giraffe Who Was Afraid of Heights (Physical & Behavioral Adaptation),1:00,32,4:16,total:61,1,6,Arbordale Publishing,11,2006,eng,David A. Ufer,3.92,2:06,5:23,976882302,3:16
10348,My Father II Duce: A Memoir by Mussolini's Son,1:01,164,4:05,total:27,6,11,Kales Press,3,2006,,Romano Mussolini,3.19,2:04,5:03,967007682,3:14
10349,How Novels Work,1:04,346,0.272222222,total:362,1,12,OUP Oxford,34,2006,,John Mullan,3.68,2:29,0.253472222,199281777,0.202777778
10352,Sherlock Holmes: Four Great Novels,1:00,358,4:06,total:10,1,6,World Publications (MA),0,1998,,Arthur Conan Doyle,4.4,2:00,5:04,1572152052,3:00
10354,Night Work,1:00,256,4:07,total:23,27,5,Touchstone Books,0,2003,,Nelson George,3.57,2:04,5:05,743235517,3:07
10356,State of Emergency: We Must Save African American Males,1:00,250,4:01,total:6,1,9,African American Images,1,2001,,Jawanza Kunjufu,4.83,2:00,5:05,091354373X,3:00
10357,State of Emergency,1:00,384,4:10,total:27,1,2,Jove,0,1999,,Steve Pieczenik,3.67,2:04,5:06,515125253,3:07
10358,"States Of Emergency: Documentaries, Wars, Democracies",1:00,256,4:01,total:2,15,3,Univ Of Minnesota Press,1,2000,,Patricia Rodden Zimmermann,4.5,2:00,5:01,816628238,3:00
10359,In a Time of Trouble: Law and Liberty in South Africa's State of Emergency,1:00,304,4:00,total:0,14,5,Clarendon Press,0,1992,,Stephen Ellmann,0,2:00,5:00,198256663,3:00
10360,Hurricane Katrina: CNN Reports: State of Emergency,1:00,176,4:05,total:19,1,10,Andrews McMeel Publishing,4,2005,,CNN News,4.11,2:00,5:08,740758446,3:06
10362,Human Rights in Crisis,1:00,264,4:01,total:2,29,1,University of Pennsylvania Press,0,1994,,Joan Fitzpatrick,3.5,2:00,5:00,812232380,3:01
10364,The Cilappatikaram of Iḷaṅkō Aṭikaḷ: An Epic of South India,1:05,426,4:21,total:71,1,4,Columbia University Press,4,1999,,Ilankovatikal,3.49,2:06,5:15,023107848X,3:24
10365,Where the Red Fern Grows,5.216666667,272,4:104225,total:328420,9,5,Yearling,9374,2000,,Wilson Rawls,4.07,2:16848,5:139958,375806814,3:59937
10370,Where the Red Fern Grows with Connections,1:08,288,4:27,total:160,1,9,Holt McDougal,5,1998,eng,Wilson Rawls,4.38,2:03,0.281944444,30547741,3:16
10371,A Guide for Using Where the Red Fern Grows in the Classroom,1:01,48,4:02,total:11,1,9,Teacher Created Resources,0,1991,,John Carratello,3.91,2:00,5:05,1557344000,3:03
10372,Summer of the Monkeys,0.213194444,288,3.130555556,total:12345,29,12,Yearling,799,1998,eng,Wilson Rawls,4.04,0.446527778,3.520138889,440415802,1.8875
10379,The Father and a Dream Play,1:00,151,4:02,total:16,1,1,Harlan Davidson,2,1964,,August Strindberg,3.19,2:05,5:03,882950967,3:06
10382,Dreams from My Father: A Story of Race and Inheritance,6.002777778,442,4:66019,total:181021,9,1,Crown,182,2007,en-US,Barack Obama,3.88,6.338194444,5:59761,307383415,3:37650
10383,Following My Father's Dreams: Journals From A Rookie Iditarod Run,1:00,182,4:00,total:6,10,8,Booksurge Publishing,1,2005,,James Warren,3.17,2:01,5:01,1419610686,3:04
10384,"Embroidery Machine Essentials: How to Stabilize, Hoop and Stitch Decorative Designs",1:01,144,4:17,total:56,1,4,Krause Publications,3,2001,,Jeanine Twigg,3.73,2:06,5:16,873419995,3:16
10387,Bead Embroidery the Complete Guide: Bring New Dimension to Classic Needlework,1:00,256,4:11,total:24,1,12,Krause Publications,0,2005,,Jane  Davis,3.88,2:02,5:06,873498887,3:05
